Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,,VEHICLE_YEAR
200901BS70001,01-01-2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.512273,Daylight,Kensington and Chelsea,None,-0.201349,1,2,Metropolitan Police,Dry,One way street,30,15:11,Urban,Fine no high winds,Car,,after 2015
200901BS70002,01-05-2021,Monday,Give way or uncontrolled,Crossroads,Serious,51.514399,Daylight,Kensington and Chelsea,None,-0.199248,11,2,Metropolitan Police,Wet or damp,Single carriageway,30,10:59,Urban,Fine no high winds,Taxi/Private hire car,,before 2015
200901BS70003,01-04-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.486668,Daylight,Kensington and Chelsea,None,-0.179599,1,2,Metropolitan Police,Dry,Single carriageway,30,14:19,Urban,Fine no high winds,Taxi/Private hire car,,before 2015
200901BS70004,01-05-2021,Monday,Auto traffic signal,T or staggered junction,Serious,51.507804,Daylight,Kensington and Chelsea,None,-0.20311,1,2,Metropolitan Police,Frost or ice,Single carriageway,30,08:10,Urban,Other,Motorcycle over 500cc,,before 2015
200901BS70005,01-06-2021,Tuesday,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Car,,before 2015
200901BS70006,01-01-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.493415,Daylight,Kensington and Chelsea,None,-0.185525,3,2,Metropolitan Police,Dry,Single carriageway,30,11:48,Urban,Fine no high winds,Car,,after 2015
200901BS70007,01-08-2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.480177,Daylight,Kensington and Chelsea,None,-0.178561,1,2,Metropolitan Police,Dry,Single carriageway,30,13:58,Urban,Fine no high winds,Motorcycle over 500cc,,after 2015
200901BS70008,01-02-2021,Friday,Auto traffic signal,Crossroads,Slight,51.491957,Daylight,Kensington and Chelsea,None,-0.178524,1,1,Metropolitan Police,Dry,Dual carriageway,30,13:18,Urban,Fine no high winds,Car,,after 2015
200901BS70009,01-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.49646,Daylight,Kensington and Chelsea,None,-0.167395,2,1,Metropolitan Police,Dry,Single carriageway,30,12:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70010,01-10-2021,Saturday,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,Kensington and Chelsea,None,-0.183275,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,09:52,Urban,Other,Car,,before 2015
200901BS70011,01-07-2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.482076,Darkness - lights lit,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,00:09,Urban,Fine no high winds,Car,,after 2015
200901BS70012,1/16/2021,Friday,Auto traffic signal,Crossroads,Slight,51.494995,Darkness - lights lit,Kensington and Chelsea,None,-0.183013,1,1,Metropolitan Police,Dry,Single carriageway,30,17:49,Urban,Fine no high winds,Car,,after 2015
200901BS70015,01-12-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.498778,Daylight,Kensington and Chelsea,None,-0.206779,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:00,Urban,Raining no high winds,Car,,before 2015
200901BS70016,01-09-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.506187,Daylight,Kensington and Chelsea,None,-0.209082,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,08:15,Urban,Raining no high winds,Car,,before 2015
200901BS70017,1/17/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.493077,Daylight,Kensington and Chelsea,None,-0.169548,1,2,Metropolitan Police,Dry,Single carriageway,30,12:15,Urban,Fine no high winds,Car,,before 2015
200901BS70019,1/25/2021,Sunday,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,22:05,Urban,Fine no high winds,Car,,after 2015
200901BS70020,1/26/2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.488673,Darkness - lights lit,Kensington and Chelsea,None,-0.169724,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70021,1/26/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.482363,Darkness - lights lit,Kensington and Chelsea,None,-0.186108,1,1,Metropolitan Police,Dry,Single carriageway,30,17:05,Urban,Fine no high winds,Car,,before 2015
200901BS70023,1/19/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.49391,Daylight,Kensington and Chelsea,None,-0.176861,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:27,Urban,Fine no high winds,Car,,before 2015
200901BS70024,1/27/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.509296,Darkness - lights lit,Kensington and Chelsea,None,-0.194837,1,1,Metropolitan Police,Dry,Single carriageway,30,00:28,Urban,Fine no high winds,Car,,before 2015
200901BS70025,1/21/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.50228,Darkness - lights lit,Kensington and Chelsea,None,-0.188919,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,23:15,Urban,Raining no high winds,Car,,before 2015
200901BS70026,1/22/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507588,Darkness - lights lit,Kensington and Chelsea,None,-0.194905,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,23:15,Urban,Raining no high winds,Car,,after 2015
200901BS70027,1/31/2021,Saturday,Auto traffic signal,Crossroads,Serious,51.488585,Daylight,Kensington and Chelsea,None,-0.193063,2,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car,,before 2015
200901BS70028,02-03-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.528344,Daylight,Kensington and Chelsea,None,-0.217295,1,2,Metropolitan Police,Snow,Single carriageway,30,13:25,Urban,Other,Car,,before 2015
200901BS70030,1/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499201,Darkness - lights lit,Kensington and Chelsea,None,-0.164404,2,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car,,before 2015
200901BS70031,1/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Serious,51.517081,Daylight,Kensington and Chelsea,None,-0.204042,2,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car,,before 2015
200901BS70032,1/29/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.48944,Daylight,Kensington and Chelsea,None,-0.190148,1,1,Metropolitan Police,Dry,Single carriageway,30,08:20,Urban,Fine no high winds,Car,,before 2015
200901BS70033,1/31/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,Kensington and Chelsea,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,20,12:03,Urban,Fine no high winds,Car,,before 2015
200901BS70035,1/29/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.508624,Daylight,Kensington and Chelsea,None,-0.203799,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car,,after 2015
200901BS70036,1/31/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.491173,Darkness - lights lit,Kensington and Chelsea,None,-0.18014,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,01:01,Urban,Fine no high winds,Car,,after 2015
200901BS70037,1/28/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.495478,Daylight,Kensington and Chelsea,None,-0.202731,1,1,Metropolitan Police,Wet or damp,One way street,30,07:45,Urban,Raining no high winds,Car,,after 2015
200901BS70039,1/27/2021,Tuesday,Auto traffic signal,Crossroads,Serious,51.495658,Daylight,Kensington and Chelsea,None,-0.173622,1,2,Metropolitan Police,Dry,Single carriageway,30,12:30,Urban,Fine no high winds,Car,,before 2015
200901BS70040,1/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499727,Daylight,Kensington and Chelsea,None,-0.163518,1,2,Metropolitan Police,Dry,Dual carriageway,30,10:08,Urban,Fine no high winds,Car,,before 2015
200901BS70041,1/22/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507802,Darkness - lights lit,Kensington and Chelsea,None,-0.202966,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:19,Urban,Fine no high winds,Car,,before 2015
200901BS70042,1/29/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.508972,Darkness - lights lit,Kensington and Chelsea,None,-0.197156,1,1,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car,,before 2015
